Potatoes, (imo), mg / 100grams
Apios-americana, (amerikahodoimo), 120
Celebes, (serebesu), 97
Taro-yatsugashira, (yatsugashira), 72
________, (takenokoimo), 70🌐
________, (kikuimo), 66 🌐
________, (ichouimo), 65 🌐
Ipomoea-batatas-(L.)-Poir, (murasakiimo), 56
Taro, (satoimo), 55
Potato, (jagaimo), 47
Ipomoea-batatas, (satsumaimo), 46 ~ 47
Colocasia-gigantea-(Blume)-Hook.f., (mizuimo), 35
Dioscorea-japonica, (jinenjyo), 31
Smallanthus-sonchifolius, (yākon), 31
Dioscorea-polystachya, (nagaimo), 27
