Leafs, (leafs), mg / 100 grams
(Lamiaceae) Agastache rugosa O. Kuntze, (wrinkled giant hyssop “O. Kuntze” ), 3.232
Anchusa azurea Mill., , 1.849
Coleus forskohlii, , 1.218
Hyssopus officinalis, , 1.060
Majorana hortensis Moench., (marjoram), 2.766
Melissa officinalis, (lemon balm), n
Mentha arvensis L. var. piperascens, (mint “hakka”), 1.227
Mentha rotundifolia L., (mint “bigleaf”), 2.98
Mentha suaveolens var.variegata, (mint “pineapple”), 2.47
Monarda fistulosa, , 1.162
Ocimum basilicum 'sweet', (basil sweet), 3.983
Perilla frutescens Britton var.acta Kudo forma viridis Makino, (perilla “”), 3.652
Perilla frutescens Britton var.acta Kudo forma crispa Makino, (perilla red), 3.847
Rosmarinus officinalis L., , 1.848
Salvia miltiorrhiza Bunge, , 1.886
Thymus serpyllum L., (thyme “bleckland”), 3.787
(Boraginaceae) Heliotropium arborescens L., , 0.6
(Lamiaceae) Coleus forskohlii, (woolly plectranthus), 1.561
Ocimum basilicum 'Greek', , 0.789
Ocimum basilicum 'Sweet', (basil), 5.012 - 6.779
Ocimum basilicum 'Cinnamon', (basil cinammon), 1.563
(Boraginaceae) Heliotropium peruvianum L., , 2.121
Hyssopus officinalis, , 1.907
Salvia sp. 'Amethyst', , 0.877
Lavandula angustifolia, , 1.7
Mentha aquatica, (mentha aquatica), 24.6
Mentha crispa, (mint “crispa”), 19.3
Mentha longifolia, (mint “horse”), 26.6
Mentha piperita, (mint “pepper”), 28.2
Mentha pulegium, (mint “ennyroyal”), 23.4
Mentha spicata, (mint “spicata”), 58.5
Origanum vulgare, (oregano), 25.0
Perovskia artemisoides, (sage russia), 31.3
Rosmarinus officinalis, (rosemary), 7.2
Salvia hypoleuca, (sage “”), 4.3
Salvia limbata, (sage “”), 7.5
Salvia macrosiphon, , 6.4
Salvia officinalis, (sage), 39.3
Salvia virgata, (sage “”), 16.4
Satureja atropa , (savory “atropa”), 2.8
Satureja bachtianca , (savory “bachtianca”), 5.7
Satureja hortensis, (savory summer), 16.3
Satureja khuzistanica, (savory “khuzistanica”), 1.2
Satureja macrantha, (savory “macrantha”), 4.2
Satureja mutica, (savory “mutica”), 19.0
Thymus citriodorus, (thyme lemon), 31.5
Thymus daenensis, , 14.3
Thymus vulgaris, (thyme common), 23.5

