Foods, (hinn), Quercetin mg / 100 g
Caper, (keppā|kēpā|kaper*), 233 ~ 233.84 ~ 233.8 ~ 234
Cranberry, (), 14 ~ 14.01 ~ 14.8 ~ 15
Lingonberry, (), 7.4 ~ 13
Blueberry, (), 3.12 ~ 5.05 ~ 7.7
Apple “Red delicious”, (), 4.70
(Broccoli), (), (2.51 ~ 3.22)
Apple “fuji”, (), 2.02
Tea green, (), 2.69
Tea black(hakkou), (), 1.99
Grape red, (), 1.38
Pepper ancho, (), 27.60 ~ 27.61
Pepper chili green, (), 16.81
Pepper chili yellow, (), 50.6 ~ 50.62 ~ 50.63
Jalapeno, (harapēnyo), 5.08
Kale, (kēru), 7.7 ~ 22.58 ~ 23
Apple, (rinngo), 2.01 ~ 4
Bilberry, (), 3.94
Grape black, (), 2.56
Cowberry, (), 21.01
Tomato “cherry”, (), 2.78
Lemon, (), 2.3
Cauliflower, (), 29.3
Watercress, (), 29.99 ~ 30
Carob, (), 38.78
Carob fiber, (kyarobu senni), 58 ~ 58.1
Oregano mexican, (), 42
Juniperberry, (), 46.61 ~ 46.6
Fennel leaf, (), 48.8 ~ 49
Coriander leaf, (), 52.9
Rocket wild, (rukkora), 66.19
Radish leaf, (), 70 ~ 70.37
(Aronia (juice)), (), 68.17
(Elderberry (juice)), (), 108.16
Pepper hungarian, (), 51
Chokeberry, (), 19
Elderberry, (), 26.7
Okra, (), 20.9
Lettus red, (), 11.9
Oregano, (), 7.3
(Chokeberry (juice)), (), 68.17
Rocket arugula, (rukkora arugura), 66.19
