Seed, (hinn), n ~ (degrees celsius), medium
Buchanania lanzan, (チロンジ|ブチャナニア・ランザン), 5℃
Borojoa patinoi (Alibertia patinoi), (ボロホ|ボロホア), 8℃
Momordica dioica, (カックロール|スパインゴード|カントラ), 8℃
Solanum sessiliflorum 'Red Giant', (レッドジャイアントココナ), 10℃
Diplycyclos palmatus, (オキナワスズメウリ), 7℃
Coffea arabica 'Typica', (アラビカコーヒーノキ|ティビカ), 10
Solanum aethiopicum, (トルコイック温色ナス|ターキッシュオレンジなす), n
Luffa acutangula (L.) Roxb., (十角ヘチマ|トカドヘチマ), 10
Lycopersicon lycopersicum, (ビッグレインボートマト), n
Solanum caripense, (ミニペピーノ), n
Actinidia polygama, (マタタビ), n
Ribes rubrum, (レッドカラント|フサスグリ|アカスグリ), 5
Ribes uva-crispa, (レッドグースベリー|ヒノレッド|セイヨウスグリ), 5
Capsicum baccatum, (アヒ・アマリージョペッパー), 5
Capsicum frutescens, (ジンバブエバードペッパー|バードアイ), 5
Capsicum chinense, (ブラックコブラペッパー), 5

With ascii.
