hin, pure, length(cm), grams
ていざなす, , 30, 450 ~ 650 ~ 1000
早生長紫,, 50, 
熊本赤なす, pure, ,
”新長崎長茄子”, pure, 35 ~ 40, 
ふわとろ長なす, F1, 35, 
庄屋大長, F1, 35 ~ 40,
奧三河　天狗なす,,,
ヴィオレッタ・ディ・フィレンツェ(Violetta di Firenze), pure, ,
メランツァーネ・ビステッカ スペリオーレ, F1, , 400
”ビステッカ”, , , 400
”メランツァーネ・ビステッカ”,,,
三豊なす, pure, , 300 ~ 400
賀茂なす, pure, , 250 ~ 400
藤姫長茄子, F1, 40, 200
米なす, F1, , 300 ~
究極の茄子, , , 180 ~ 350
黒紫大長茄子, , 35 ~ 40, 
早生黒びかり2号, F1, 28 ~ 30
早生大丸なす, , ,1500 ~ 2000
長ナス　緑美, F1, 30,
長ナス　下町美人, F1, 27,
長ナス　紫剣, F1, 25 ~ 30, 
くろわし, , , 300 ~ 350
みさきなす, , 25, 1000 ~
木崎やきなす, , 30, 300
紫宝茄子, , , 350 ~ 500
とろとろステーキナス, , , 500 ~
南竜本長ナス, , 40,
京まんじゅう, , , 350 ~ 400
ていざなす, ,  25 ~ 30, 400 ~ 600 ~ 1000
田屋なす, ,30 , 500 ~
チャンピオン, F1, , 1000 ~ 2000
