hin, pure, length(cm), grams
桃太郎ゴールド, F1, 
Basinga, ,170 ~ 226.8
Beauty King, ,
Dixie Golden Giant, ,453.6 ~ 907
Dr. Wyche's Yellow Tomato, ,
Lemon Boy, ,
Yellow Brandywine, ,
YELLOW GIANT BELGIUM Tomato, ,
Big Yellow Zebra, ,
Big Rainbow Tomato, ,
Brandywine Yellow, 453.59 ~ 907.18
Amana Orange Tomato, 
Azoychka Tomato,
Sgt. Peppers Pink,
Big Springs Cherokee Yellow Tomato,
Oaxacan Jewel Tomato,
Big Orange Stripe Tomato, , 680.4
Tomato Orlov's Yellow Giant, ,
Big Rainbow Tomato, , 680.4
(”BEEFSTEAK TOMATO BIG RAINBOW FINEST”), ,800
(”Kellogg's Breakfast”), ,453.59
Kosovo, ,283.5 ~ 510.29
Dr. Wyche's Yellow Tomato, ,
Basinga, ,170 ~ 226.8
Dixie Golden Giant, ,453 ~ 907
Goldie Tomato, ,
Yellow Stuffer Tomato,,
Orange Oxheart Tomato,,453.6 ~ 907.2
”Persimmon Tomato”, 
”Pineapple Tomato”, , 907
”Pork Chop Tomato”, , 226.8 ~ 340
