Mushrooms, mg / 100 grams
Pleurotus-pulmonarius(usuhiratake), 100 ~ 110
Flammulina-velutipes(enokitake), 94 ~ 110
Cyclocybe-aegerita(yanagimatsutake), 98.3 ~ 110
Agaricus-bisporus(massyurūmu), 100
Pleurotus-abalonus(kuroawabitake), 100
Pleurotus-ostreatus(hiratake), 92.2 ~ 100
Hypsizygus-marmoreus(bunashimeji), 90 ~ 96
Pleurotus-eryngii(eringi), 89 ~ 110
Pleurotus-cornucopiae-var.-citrinopileatus(tamogitake), 85
Lyophyllum-shimeji(honshimeji), 76
Pholiota-microspora(nameko), 65 ~ 68
Pholiota-aurivella(numerisugitake), 65
Lyophyllum-decastes(hatakeshimeji), 60 ~ 64
Lentinula-edodes(shiitake), 53.3 ~ 61 ~ 87
Tricholoma-matsutake(matsutake), 39 ~ 40
